Song Title,Artist,Cleaned Lyrics
End Of An Era,Dua Lipa,one two three
End Of An Era,Dua Lipa,verse
End Of An Era,Dua Lipa,kiss feel like
End Of An Era,Dua Lipa,optimist guess
End Of An Era,Dua Lipa,always jump quick one might stick
End Of An Era,Dua Lipa,hopelessly romantic
End Of An Era,Dua Lipa,said hey said hey
End Of An Era,Dua Lipa,name
End Of An Era,Dua Lipa,come
End Of An Era,Dua Lipa,cause see face ah
End Of An Era,Dua Lipa,chorus
End Of An Era,Dua Lipa,pleasure
End Of An Era,Dua Lipa,feel like together
End Of An Era,Dua Lipa,could end era
End Of An Era,Dua Lipa,baby could forever forever
End Of An Era,Dua Lipa,verse
End Of An Era,Dua Lipa,type tried
End Of An Era,Dua Lipa,done nights guess
End Of An Era,Dua Lipa,one chapter might done god fun
End Of An Era,Dua Lipa,new one begun
End Of An Era,Dua Lipa,said hey said hey
End Of An Era,Dua Lipa,name
End Of An Era,Dua Lipa,come
End Of An Era,Dua Lipa,cause see face ah
End Of An Era,Dua Lipa,chorus
End Of An Era,Dua Lipa,pleasure
End Of An Era,Dua Lipa,feel like together
End Of An Era,Dua Lipa,could end era
End Of An Era,Dua Lipa,baby could forever forever
End Of An Era,Dua Lipa,goes
End Of An Era,Dua Lipa,let flow
End Of An Era,Dua Lipa,nother girl love
End Of An Era,Dua Lipa,another girl leaves club
End Of An Era,Dua Lipa,send big kiss
End Of An Era,Dua Lipa,pretty end era
End Of An Era,Dua Lipa,another girl love
End Of An Era,Dua Lipa,another girl leaves club forever
End Of An Era,Dua Lipa,bridge
End Of An Era,Dua Lipa,lost
End Of An Era,Dua Lipa,la
End Of An Era,Dua Lipa,happy ending
End Of An Era,Dua Lipa,la
End Of An Era,Dua Lipa,goes
End Of An Era,Dua Lipa,chorus
End Of An Era,Dua Lipa,pleasure
End Of An Era,Dua Lipa,feel like together
End Of An Era,Dua Lipa,could end era
End Of An Era,Dua Lipa,baby could forever ever
End Of An Era,Dua Lipa,goes
End Of An Era,Dua Lipa,let flow end era
End Of An Era,Dua Lipa,nother girl love
End Of An Era,Dua Lipa,another girl leaves club
End Of An Era,Dua Lipa,send big kiss
End Of An Era,Dua Lipa,pretty end era
End Of An Era,Dua Lipa,another girl love
End Of An Era,Dua Lipa,another girl leaves club
Houdini,Dua Lipa,ah
Houdini,Dua Lipa,chorus
Houdini,Dua Lipa,come go
Houdini,Dua Lipa,tell ways need
Houdini,Dua Lipa,long
Houdini,Dua Lipa,catch go
Houdini,Dua Lipa,come go
Houdini,Dua Lipa,prove got right please
Houdini,Dua Lipa,everybody
Houdini,Dua Lipa,catch go
Houdini,Dua Lipa,verse
Houdini,Dua Lipa,time like solar eclipse
Houdini,Dua Lipa,see blow kiss
Houdini,Dua Lipa,moment baby let slip
Houdini,Dua Lipa,come closer
Houdini,Dua Lipa,chorus
Houdini,Dua Lipa,say come go
Houdini,Dua Lipa,tell ways need
Houdini,Dua Lipa,long
Houdini,Dua Lipa,catch go
Houdini,Dua Lipa,come go
Houdini,Dua Lipa,prove got right please
Houdini,Dua Lipa,everybody
Houdini,Dua Lipa,catch go
Houdini,Dua Lipa,good enough find way
Houdini,Dua Lipa,maybe could cause girl change ways
Houdini,Dua Lipa,think night day
Houdini,Dua Lipa,maybe could one make stay
Houdini,Dua Lipa,verse
Houdini,Dua Lipa,everything say sweet
Houdini,Dua Lipa,preach
Houdini,Dua Lipa,need something make believe
Houdini,Dua Lipa,got baby give
Houdini,Dua Lipa,chorus
Houdini,Dua Lipa,say come go
Houdini,Dua Lipa,tell ways need
Houdini,Dua Lipa,long
Houdini,Dua Lipa,catch go
Houdini,Dua Lipa,come go come go
Houdini,Dua Lipa,prove got right please
Houdini,Dua Lipa,everybody long
