Artist,Title,Lyrics,Tempo,Key,Loudness,Mode
Kanye West,Monster,"[Intro: Justin Vernon]
I shoot the lights out
Hide 'til it's bright out
Oh, just another lonely night
Are you willing to sacrifice your life?
[Verse 1: Rick Ross]
Bitch, I'm a monster, no-good bloodsucker
Fat motherfucker, now look who's in trouble
As you run through my jungles, all you hear is rumbles
Kanye West samples, here's one for example
[Chorus: Kanye West]
Gossip, gossip, nigga, just stop it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands at the concert
Profit, profit, nigga, I got it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands
[Verse 2: Kanye West]
Uh, the best living or dead hands down, huh
Less talk, more head right now, huh
And my eyes more red than the devil is
And I'm 'bout to take it to another level, bitch
Matter who you go and get, ain't nobody cold as this
Do the rap and the track, triple-double, no assists
And my only focus is stayin' on some bogus shit
Arguin' with my older bitch, actin' like I owe her shit
I heard the beat, the same raps that gave the track pain
Bought the chain that always give me back pain
Fucking up my money so, yeah, I had to act sane
Chi nigga, but these hoes love my accent
Chick came up to me and said, ""This the number to dial
If you wanna make your number one your number two now""
Mix that Goose and Malibu, I call it ""Malibooyah""
Goddamn, Yeezy always hit 'em with a new style
Know that motherfucker, well, what you gon' do now?
Whatever I wanna do, gosh, it's cool now
Know I'm gonna do, ah, it's the new now
Think you motherfuckers really really need to cool out
'Cause you'll never get on top of this
So, mami, best advice is just to get on top of this
Have you ever had sex with a pharaoh?
Ah, put the pussy in a sarcophagus
Now she claiming that I bruised her esophagus
Head of the class and she just won a swallowship
I'm livin' in the future so the present is my past
My presence is a present, kiss my ass",124.887,2,-5.64,1
almost monday,sunburn,"[Chorus]
The days we spent were temporary
But you'll always be that sunburn on me
An ice cold shower can't help, baby
'Cause you'll always be that sunburn on me (Yeah, yeah, yeah)
[Verse 1]
California (Yeah, yeah)
Heat waves on ya (Yeah, yeah)
Think we knew that it would go there
Catching magic out of thin air
Warmer weather (Yeah, oh)
Nothing better
'Til we stumble into nightfall
And you end it with a phone call
Why'd I give you my everything
Just to watch us spiral down the drain?
What if time doеsn't heal a damn thing?
And nothing, nothing's gonna wash it away
[Chorus]
The days we spеnt were temporary
But you'll always be that sunburn on me
An ice cold shower can't help, baby
'Cause you'll always be that sunburn on me",111.98,4,-4.544,1
Wallows,At the End of the Day,"[Verse 1: Braeden Lemasters]
Please lay your head here on my shoulder
The night is young but we're still getting older
Can you see ourselves in love like this forever?
Or are you afraid that's too much pressure?
[Chorus: Braeden Lemasters]
At the end of the day
I'm not far away, I'm staying
A face in the crowd
When you're not around that's fading
If you wanted I would never call you
Never think about you or never let you go
But at the end of the day
Are we on our way to breaking?
[Verse 2: Braeden Lemasters]
There's a place you used to take me almost twice a week
And at first you made me nervous I could hardly speak
I don't really think about it anymore
Is that a problem or just something to ignore?
Time on my hands
Falling like sand
Just take it back if you need an escape plan
[Chorus: Braeden Lemasters]
At the end of the day
I'm not far away, I'm staying
A face in the crowd
When you're not around that's fading
If you wanted I would never call you
Never think about you or never let you go
But at the end of the day
Are we on our way to breaking?",117.29,9,-5.168,1
Dua Lipa,Physical,"[Verse 1]
Common love isn't for us
We created something phenomenal
Don't you agree?
Don't you agree?
You got me feeling diamond rich
Nothing on this planet compares to it
Don't you agree?
Don't you agree?
[Pre-Chorus]
Who needs to go to sleep when I got you next to me?
[Chorus]
All night, I'll riot with you
I know you got my back and you know I got you
So come on (Come on), come on (Come on), come on (Come on)
Let's get physical
Lights out, follow the noise
Baby, keep on dancing like you ain't got a choice
So come on (Come on), come on (Come on), come on
Let's get physical
[Verse 2]
Adrenaline keeps on rushing in
Love the simulation we're dreaming in
Don't you agree?
Don't you agree?
I don't wanna live another life
'Cause this one's pretty nice
Living it up",146.967,0,-3.756,1
Doja Cat,Kiss Me More (feat. SZA),Lyrics Not Found,110.968,8,-3.541,1
Frank Ocean,Lost,"[Verse 1]
Double D, big full breasts on my baby
(Yo, we goin' to Florida)
Triple weight
Couldn't weigh the love I've got for the girl
And I just wanna know
Why you ain't been going to work?
Boss ain't workin' you like this
He can't take care of you like this
[Chorus]
Now you're lost, lost in the heat of it all
Girl, you know you're lost, lost in the thrill of it all
Miami, Amsterdam, Tokyo, Spain, lost
Los Angeles, India, lost on a train, lost
[Verse 2]
Got on my buttercream silk shirt and it's Versace
(There he goes, one of God's own prototypes)
Hand me my triple weight
So I can weigh the work I got on you, girl
(Too weird to live and too rare to die)
No, I don't really wish
I don't wish the titties would show
No, have I ever, have I ever let you get caught? (Oh)",123.061,8,-4.892,1
Kings of Leon,Sex on Fire,"[Verse 1]
Lay where you're layin'
Don't make a sound
I know they're watchin'
They're watchin'
All the commotion
The kiddie-like play
It has people talkin'
Talkin'
[Chorus]
You
Your sex is on fire
[Verse 2]
The dark of the alley
The breakin' of day
Head while I'm drivin'
I'm drivin'
Soft lips are open
Them knuckles are pale
Feels like you're dyin'
You're dyin'
[Chorus]
You
Your sex is on fire
Consumed
With what's to transpire",153.398,9,-5.653,1
Cage The Elephant,Social Cues,"[Verse 1]
I think it's strange when people say
You're the next big thing, you'll never fade
The slightest touch, forced to fold
Sleight of the hand, modern gold
[Pre-Chorus]
Starry-eyed child left behind
Choose your favorite vice
I don't have the strength to play nice
[Chorus]
Hide me in the back room, tell me when it's over
Don't know if I can play this part much longer
I'll be in the back room, tell me when it's over
Don't know if I can play this part much longer
I don't know if it is right to live this way, yeah
I'll be in the back room, tell me when it's over
People always say, ""Man, at least you're on the radio""
[Post-Chorus]
At least you're on the radio, oh
At least you're on the radio, huh
At least you're on the radio, oh
[Verse 2]
Close your eyes, don't be afraid
Take some of these, they'll ease the pain
Live fast, die young, pay the price
The best die young, immortalized",132.039,9,-3.097,1
Cannons,Fire for You,"[Verse 1]
I was on fire for you
Where did you go?
I could have died for you
How could you not know?
I was alive with you
But you brought in the cold
Was I being lied to? Wish I never met you
Startin' to regret you
[Pre-Chorus]
My heart just dropped
Thinkin' about you
The world just stops
When I'm without you
[Chorus]
I was on fire for you
(
Fire, on fire, fire, on fire
)
(
Fire, on fire, fire, on fire
)
I was on fire for you
(
Fire, on fire, fire, on fire
)
(
Fire, on fire
)
[Verse 2]
I was on fire for you
You breakin' me down
Don't know what I should do
When you come around
I'm leaving without you, love
I have no choice
I know I'm being lied to, I just need some time to
Stop thinkin' about you",102.051,6,-7.011,0
Cage The Elephant,Come a Little Closer,"[Verse 1]
Time shakes, found you at the water
At first you were my father
Now I love you like a brother
Earthquakes shake the dust behind you
This world at times will blind you
Still I know I'll see you there
[Chorus]
Come a little closer, then you'll see
Come on, come on, come on
Things aren't always what they seem to be
Come on, come on, come on
Do you understand the things that you've been seein'?
Come on, come on, come on
Do you understand the things that you've been dreamin'?
Come a little closer, then you'll see
[Verse 2]
Heartbreaks, the heavy worlds upon your shoulders
Will we burn on or just smolder?
Somehow I know I'll find you there
Ooh, you wanna see if you can change it, change it
Still I know I'll see you there
[Chorus]
Come a little closer, then you'll see
Come on, come on, come on
Things aren't always what they seem to be
Do you understand the things that you've been seein'?
Come on, come on, come on
Do you understand the things that you've been dreamin'?
Come a little closer, then you'll see
Come a little closer, then you'll see",148.038,1,-1.786,0
The Toxic Avenger,Yellow Ferrari,"[Verse 1]
Your favorite color's yellow
What if I got you a yellow ferrari?
Could you drive me to the ocean, now?
Let's whip around in the yellow ferrari
Pressure, lucid dreamin' now
We'll drive around in a yellow ferrari
Nothing matters, windows down
We'll ride around in a yellow ferrari
[Chorus]
Why does this feel so real?
Why does this feel so real?
Why does this feel so real? (Real)
Why does this feel so real?
[Verse 2]
Sunset's always yellow
What if I got you a yellow ferrari?
No longer drivin' through the motions now
We'll disappear in a yellow ferrari
Never down, we're racin' now
We're whippin' 'round in a yellow ferrari (Ah)
Nothing matters, windows down
Just you and me in a yellow ferrari",84.981,0,-7.831,1
"Tyler, The Creator",See You Again (feat. Kali Uchis),"[Intro: Tyler, The Creator]
Okay, okay, okay, okay, okay, okay, o-
[Verse 1: Tyler, The Creator]
You live in my dream state
Relocate my fantasy
I stay in reality
You live in my dream state
Any time I count sheep
That's the only time we make up, make up
You exist behind my eyelids, my eyelids
Now, I don't wanna wake up
[Pre-Chorus: Tyler, The Creator, 
with Kali 
Uchis
]
20/20, 20/20 
vision
Cupid hit me, cupid hit me with 
precision, eye
Wonder if you look 
both ways 
when you cross 
my mind
I said, I said
I'm 
sick of, sick of, sick of, sick of chasing
You're the one that's always running through my 
daydreams, I
I can only see 
your face
 when I close 
my eyes
So...
[Chorus: Kali Uchis & 
Tyler, The Creator
]
Can I get a kiss?
And can you make it last forever?
I said I'm 'bout to go to war (
Uh-huh
)
And I don't know if I'ma see you again
Can I get a kiss? (Can I?)
And can you make it last forever? (Can you?)
I said I'm 'bout to go to war (I'm 'bout to)
And I don't know if I'ma see you again
Ugh, switch it up",78.558,6,-9.222,1
Kanye West,Jail,"[Intro: Kanye West]
Take what you want
Take everything
Take what you want
Take what you want
[Verse 1: Kanye West]
Better that I change my number so you can't explain
Violence in the night, violence in the night
Priors, priors, do you have any priors?
Well, that one time
I'll be honest, I'll be honest
We all liars
Let it go
[Pre-Chorus: Kanye West]
I'll be honest, we all liars
I'll be honest, we all liars
I'm pulled over and I got priors
Guess we goin' down, guess who's goin' to jail?
[Chorus: Kanye West]
Guess who's goin' to jail tonight?
Guess who's goin' to jail tonight?
Guess who's goin' to jail tonight?
God gon' post my bail tonight",110.013,4,-6.739,1
Flume,Never Be Like You (feat. Kai),Lyrics Not Found,115.058,0,-5.476,1
Swedish House Mafia,Moth To A Flame (with The Weeknd),"[Intro]
Oh-woah
Woah-oh-oh
Woah
[Verse]
Like a moth to a flame
I'll pull you in, I pulled you back to
What you need initially
It's just one call away
And you'll leave him, you're loyal to me
But this time, I let you be
[Pre-Chorus]
'Cause he seems like he's good for you
And he makes you feel like you should
And all your friends say he's the one
His love for you is true
[Chorus]
But does he know you call me when he sleeps?
But does he know the pictures that you keep?
But does he know the reasons that you cry?
Or tell me, does he know where your heart lies?
Where it truly lies",120.122,8,-7.289,1
Surf Curse,Freaks,"[Verse 1]
Don't kill me
Just help me run away from everyone
I need a place to stay
 
where I can cover up my face
Don't cry
, 
I am just a freak
[Chorus]
I am just a freak
I am just a freak
I am just a freak
[Verse 2]
My head is filled with parasites
Black holes
 
cover up my eyes
I dream of you almost every night
Hopefully, I won't wake up this time
[Chorus]
I won't wake up this time
I won't wake up this time
I won't wake up this time",179.626,9,-9.918,1
Magdalena Bay,Killshot - Slowed + Reverb,Lyrics Not Found,84.122,1,-7.8,1
Rihanna,Love On The Brain,"[Verse 1]
And you got me like, oh
What you want from me? (
What you want from me?
)
And I tried to buy your pretty heart, but the price too high
Baby, you got me like, oh, mmm
You love when I fall apart (
Fall apart
)
So you can put me together and throw me against the wall
[Pre-Chorus]
Baby, you got me like, I, woo, I
Don't you stop loving me (
Loving me
)
Don't quit loving me (
Loving me
)
Just start loving me, oh (
Loving me
)
[Chorus]
And, babe, I'm fist-fighting with fire
Just to get close to you
Can we burn something, babe?
And I'll run for miles just to get a taste
Must be love on the brain
That's got me feeling this way (
Feeling this way
)
It beats me black and blue, but it fucks me so good
And I can't get enough
Must be love on the brain, yeah
And it keeps cursing my name (
Cursing my name
)
No matter what I do, I'm no good without you
And I can't get enough
Must be love on the brain",172.007,4,-4.83,0
Gerry Rafferty,Right Down the Line,"[Verse 1]
You know I need your love
You've got that hold over me
Long as I've got your love
You know that I'll never leave
When I wanted you to share my life
I had no doubt in my mind
And it's been you, woman
Right down the line
[Verse 2]
I know how much I lean on you
Only you can see
The changes that I've been through
Have left a mark on me
You've been as 
constant as a Northern Star
The brightest light that shines
It's been you, woman
Right down the line
[Chorus]
I just wanna say this is my way
Of telling you everything
I could never say before
Yeah this is my way of telling you
That every day I'm loving you so much more",128.226,0,-15.091,1
INXS,Never Tear Us Apart,"[Verse 1]
Don't ask me
What you know is true
Don't have to tell you
I love your precious heart
[Chorus]
I… I was standing
You were there
Two worlds collided
And they could never tear us apart
[Verse 2]
We could live for a thousand years
But if I hurt you
I'd make wine from your tears
I told you that we could fly
'Cause we all have wings
But some of us don't know why
[Chorus]
I was standing
You were there
Two worlds collided
And they could never, ever tear us apart",96.848,0,-5.849,1
BETWEEN FRIENDS,affection,"[Verse 1]
You're taking what you want right from me
Wrapped up in so much
Life is just the way you hold me
You pick your miscellaneously
Wrapped up in all the choices you're not giving to me
[Pre-Chorus]
I'm laying on the floor
We're drinking 'cause we're bored
[Chorus]
Oh, I'm looking for affection in all the wrong places
And we'll keep falling on each other to fill the empty spaces
(One more time)
Oh, I'm looking for affection in all the wrong places
And we'll keep falling on each other to  fill the empty spaces
[Verse 2]
You're saying what you want right to me
No filter on your mouth, we know you talk in your sleep
Remembering the times they won't remember me
Our nights melt into sequels, you sink into me
[Pre-Chorus]
I'm laying on the floor
We're drinking 'cause we're bored",179.518,2,-7.283,1
NASAYA,PATTERNS,"[Verse 1]
How did I get here?
Tryna get both of my feet back on the ground
What am I doin'
When everyone else seems to have it figured out?
Yeah
[Chorus]
Ooh, baby, why
(Why you gotta do that to me?)
(Ooh, why you gotta do that to me?)
You made me cry
(Why you gotta do that to me?)
(Ooh, why you gotta do that to me?)
Why you gotta leave me on the throne?
Why you gotta leave me on the throne?
On the throne
[Verse 2]
So I keep it movin'
Learning a thing 'bout the way I was before
Yeah, yeah
The more that I'm losin'
The less that I get to stay on track with the score
Yeah",90.009,10,-5.635,0
Declan McKenna,Brazil,"[Verse 1]
I heard you sold the Amazon
To show the country that you're from
Is where the world should want to be
For a fine something all people need
I'm faithless now
Though we win every time and I don't know how
'Cause I haven't bought you and I haven't sold me
But the people are dying to, to get on TV
[Chorus]
I heard he lives down a river somewhere
With six cars and a grizzly bear
He got eyes, but he can't see
Well, he talks like an angel, but he looks like me
[Verse  2]
Oh, Lord! What have I become?
I'm the face of God, I'm my father's son
I'm not what you think you see
I know you can't eat leather, but you can't stop me
Why would you lie, why would you lie about how you feel?
I've got a mission and my mission is real
Because you've had your chances, yeah, you've had enough
I'm gonna burn your house down to spread peace and love
And it gets me down
Oh, Lord, how it gets me down",121.079,4,-5.213,1
Lykke Li,I Follow Rivers - The Magician Remix,"[Verse 1]
Oh I beg you, can I follow?
Oh I ask you, why not always?
Be the ocean, where I unravel
Be my only, be the water where I'm wading
[Pre-Chorus]
You're my river running high
Run deep, run wild
[Chorus]
I, I follow, I follow you
Deep sea baby, I follow you
I, I follow, I follow you
Dark doom honey, I follow you
[Verse 2]
He a message
I'm the runner
He the rebel
I'm the daughter waiting for you
[Pre-Chorus]
You're my river running high
Run deep, run wild",121.974,9,-5.796,0
