Artist,Title,Lyrics
Dua Lipa,End Of An Era,"[Intro]
One, two, three, ayy
[Verse 1]
What's it about a kiss that makes me feel like this?
Makes me an optimist, I guess
I always jump too quick, hopin' this one might stick
Hopelessly romantic
[Pre-Chorus]
Then you said, ""Hey,"" and I said, ""Hey
What's your name?""
Come with me
'Cause when I see your face (Ah)
[Chorus]
The sweetest pleasure
I feel like we're gonna be together
This could be the end of an era
Who knows, baby? This could be forever, forever
[Verse 2]
No more ""You're not my type"", no more ""At lеast I tried""
Done with the lonеly nights, I guess
One chapter might be done, God knows I had some fun
New one has just begun
[Pre-Chorus]
You said, ""Hey,"" and I said, ""Hey
What's your name?""
Come with me
'Cause when I see your face (Ah)
[Chorus]
The sweetest pleasure
I feel like we're gonna be together
This could be the end of an era
Who knows, baby? This could be forever, forever
[Post-Chorus]
In the clouds, there she goes
Butterflies, let them flow
'Nother girl falls in love
Another girl leaves the club
Send a big kiss goodbye
To all of the pretty eyes (End of an era)
Another girl falls in love
Another girl leaves the club (Forever)
[Bridge]
I've lost all my senses
La-la-la-la, la-la-la-la-la
Is this my happy ending?
La-la-la-la, la-la-la-la-la
(Here she goes again)
[Chorus]
The sweetest pleasure
I feel like we're gonna be together
This could be the end of an era
Who knows, baby? This could be forever and ever
[Post-Chorus]
In the clouds, there she goes
Butterflies, let them flow (End of an era)
'Nother girl falls in love
Another girl leaves the club
Send a big kiss goodbye
To all of the pretty eyes (End of an era)
Another girl falls in love
Another girl leaves the club"
Dua Lipa,Houdini,"[Intro]
Okay
Mm, ah
[Chorus]
I come and I go
Tell me all the ways you need me
I'm not here for long
Catch me or I go Houdini
I come and I go
Prove you got the right to please me
Everybody knows
Catch me or I go Houdini
[Verse 1]
Time is passin' like a solar eclipse
See you watchin' and you blow me a kiss
It's your moment, baby, don't let it slip
Come in closer, are you readin' my lips?
[Chorus]
They say I come and I go
Tell me all the ways you need me
I'm not here for long
Catch me or I go Houdini
I come and I go
Prove you got the right to please me
Everybody knows
Catch me or I go Houdini
[Post-Chorus]
If you're good enough, you'll find the way
Maybe you could cause a girl to change (Her ways)
Do you think about it night and day?
Maybe you could be the one to make me stay
[Verse 2]
Everything you say is soundin' so sweet (Ah-ah)
But do you practise everythin' that you preach?
 (Ah-ah)
I need something that'll make me believe (Ah-ah)
If you got it, baby, give it to me
[Chorus]
They say I come and I go
Tell me all the ways you need me
I'm not here for long
Catch me or I go Houdini
I come and I go (I come and I go)
Prove you got the right to please me
Everybody knows (I'm not here for long)
Catch me or I go Houdini
[Post-Chorus]
If you're good enough, you'll find the way
Maybe you could cause a girl to change (Her ways)
Do you think about it night and day?
Maybe you could be the one to make me stay
[Bridge]
Oh-oh
Ooh
[Chorus]
I come and I go
Tell me all the ways you need me (Ooh)
I'm not here for long
Catch me or I go Houdini (Hahaha)
I come and I go (I come and I go)
Prove you got the right to please me
Everybody knows (I'm not here for long)
Catch me or I go Houdini
[Outro]
Houdini (Ah)
Catch me or I go Houdini"
Dua Lipa,Training Season,"[Verse 1]
Are you
Someone that I can give my heart to?
Or just the poison that I'm drawn to?
It can be hard to tell the difference late at night
Play fair
Is that a compass in your nature?
Or are you tricky? 'Cause I've been there
And, baby, I don't need to learn my lesson twice
[Pre-Chorus]
But if you really wanna go there
You should know I
[Chorus]
Need someone to hold me close
Deeper than I've ever known
Whose love feels like a rodeo
Knows just how to take control
When I'm vulnerable
He's straight talking to my soul
Convеrsation overload
Got me feeling vertigo
[Post-Chorus]
Arе you somebody who can go there?
'Cause I don't wanna have to show ya
If that ain't you, then let me know, yeah
'Cause training season's over
(Training season's over)
[Verse 2]
I tried
To see my lovers in a good light
Don't wanna do it just to be nice
Don't wanna have to teach you how to love me right
I hope
It hits me like an arrow
Someone with some potential
Is it too much to ask for?
[Pre-Chorus]
Who understands I
[Chorus]
Need someone to hold me close
Deeper than I've ever known
Whose love feels like a rodeo
Knows just how to take control
When I'm vulnerable
He's straight talking to my soul
Conversation overload
Got me feeling vertigo
[Post-Chorus]
Are you somebody who can go there?
'Cause I don't wanna have to show ya
If that ain't you, then let me know, yeah
'Cause training season's over
[Bridge]
Can you compete? Now is your time
Run when you hear that whistle blow
Are you on my team or stuck on the sidelines
Waiting for someone to tell you to go?
For someone to tell you to go
[Pre-Chorus]
You should know I
[Chorus]
Need someone to hold me close
Deeper than I've ever known
Whose love feels like a rodeo
Knows just how to take control
When I'm vulnerable
He's straight talking to my soul (If that ain't you, then let me know, yeah)
Conversation overload
[Outro]
'Cause training season's over
'Cause training season's over (Training season's over)
Training season's over"
Dua Lipa,These Walls,"[Verse 1]
Maybe we should switch careers
'Cause, baby, you know no one beats our poker faces
And when the night ends up in tears
Wake up and we blame it all on being wasted
[Pre-Chorus]
Oh, this love is fadin'
So much we're not sayin'
[Chorus]
But if these walls could talk
(They'd say) ""Enough""
(They'd say) ""Give up""
If these walls could talk
(They'd say) ""You know""
(They'd say) ""You're fucked""
It's not supposed to hurt this much
Oh, if these walls could talk
They'd tell us to break up
[Post-Chorus]
(These walls, these walls)
(These walls) 
They'd tell us to break up
(These walls, these walls)
(These walls, these walls)
[Verse 2]
They'd tell us, ""Go and face your fears""
It's getting worse the longer that we stay together
We call it love, but hate it here
Did we really mean it when we said forever?
[Pre-Chorus]
Oh, this love is fadin'
So much we're not sayin'
[Chorus]
But if these walls could talk
(They'd say) ""Enough""
(They'd say) ""Give up""
(I know) If these walls could talk
(They'd say) ""You know""
(They'd say) ""You're fucked""
It's not supposed to hurt this much
Oh, if these walls could talk
They'd tell us to break up
[Post-Chorus]
(These walls, these walls)
(These walls) They'd tell us to break up
(These walls, these walls)
(These walls) They'd tell us to break up
[Bridge]
You don't wanna go (Go)
Don't wanna stop (Stop)
Heaven knows I (I)
Don't wanna be the one to cut it off
[Chorus]
But if these walls could talk
(They'd say) ""Enough""
(They'd say) ""Give up"" (Give it up, give it up, give it up)
If these walls could talk
(They'd say) ""You know""
(They'd say) ""You're fucked""
(Yeah, you know, yeah, you know you're fucked)
It's not supposed to hurt this much
Oh, if these walls could talk
They'd tell us to break up
[Post-Chorus]
(These walls, these walls)
(These walls) They'd tell us to break up
(These walls, these walls)
(They'd tell us, ""Break up"")"
Dua Lipa,Whatcha Doing,"[Intro]
Ooh, na-na-na
Ooh, na-na-na-na
[Verse 1]
After midnight
Me and my thoughts alone
There's a part of me that wants to steal your heart
And a part that tells me, ""Don't""
'Cause I'm no good at givin' up control
Are you worried that I might find somethin' wrong?
'Cause I'm worried that I won't
[Pre-Chorus]
But if control is my religion
And I'm headin' for collision
Lost my 20/20 vision
Please
[Chorus]
Whatcha doin' to me, baby?
I'm scared to death that you might be the one to change me
You're in my head and, now, you're cloudin' my decisions
Got me headin' for collision
Whatcha doin' to me, baby?
Oh, whatcha doin'?
[Verse 2]
In the future
I see you next to me
But I can't shake the feelin' that there's more to life
In the time between
[Pre-Chorus]
But if control is my religion
And I'm headin' for collision
Lost my 20/20 vision
Please
[Chorus]
Whatcha doin' to me, baby?
I'm scared to death that you might be the one to change me
You're in my head and, now, you're cloudin' my decisions
Got me headin' for collision
Whatcha doin' to me, baby?
Oh, whatcha doin' to me?
[Post-Chorus]
Ooh, na-na-na
Tell me what you're doin' to me
Ooh, na-na-na-na
Tell me what you're doin' to me
Ooh, na-na-na
Tell me what you're doin' to me
Ooh, na-na-na-na
[Pre-Chorus]
If control is my religion
And I'm headin' for collision
Lost my 20/20 vision
Please (Tell me what you're doin' to me)
If control is my religion
And I'm headin' for collision
Lost my 20/20 vision
Please
[Chorus]
Whatcha doin' to me, baby?
I'm scared to death that you might be the one to change me
You're in my head and, now, you're cloudin' my decisions
Got me headin' for collision
Whatcha doin' to me, baby?
Oh, whatcha doin' to me?
[Post-Chorus]
Ooh, na-na-na
Tell me what you're doin' to me
Ooh, na-na-na-na
Tell me what you're doin' to me
Ooh, na-na-na
Tell me what you're doin' to me
Ooh, na-na-na-na
Tell me what you're doin' to me"
Dua Lipa,French Exit,"[Verse 1]
I don't wanna stay till the lights come on
I just can't relate to the words of this love song
What's it gonna take to right all the wrongs?
'Cause, right now, I can't give you what you want
[Refrain]
Everybody's still dancin'
Everybody's holdin' hands and romancin'
Someone's gotta be the last one standin'
And I hate that I'm leaving you stranded
[Pre-Chorus]
But I gotta hit the road
(But I gotta hit the road)
[Chorus]
It's not a broken heart if I don't break it
""Goodbye"" doesn't hurt if I don't say it
And I really hope you'll understand it
Only way to go is a French exit
[Post-Chorus]
French exit
, 
filer à l'anglaise
French exit
[Verse 2]
Maybe time away will make it make sеnse
I'm better at a clеan break than leaving doors open
I know you're gonna say I shoulda stayed till the end
But, right now, I can't give you what you want
[Refrain]
Everybody's still dancin'
Everybody's holdin' hands and romancin'
Someone's gotta be the last one standin'
And I hate that I'm leaving you stranded
[Pre-Chorus]
But I gotta hit the road, yeah
(Yeah, I gotta hit the road)
[Chorus]
It's not a broken heart if I don't break it
""Goodbye"" doesn't hurt if I don't say it
And I really hope you'll understand it
Only way to go is a French exit
[Bridge]
And you know, you know, you know, you know I'm right
And it's better to do this than say goodbye
And the only, only, only fix is time
And a lonely, lonely, lonely, lonely night
[Chorus]
It's not a broken heart if I don't break it
""Goodbye"" doesn't hurt if I don't say it
(You know, you know, you know, you know I'm right)
And I really hope you'll understand it
(You know, you know, you know, you know)
Only way to go is a French exit
[Post-Chorus]
French exit, 
filer à l'anglaise
French exit, 
c'est la seule solution
French exit
French exit"
Dua Lipa,Illusion,"[Verse 1]
I been known to miss a red flag
I been known to put my lover on a pedestal
In the end, those things just don't last
And it's time I take my rose-coloured glasses off
[Pre-Chorus]
I already know your type, tellin' me the things I like (Mm)
Tryna make me yours for life, takin' me for a ride (Mm)
I already know your type, think you play your cards right (Mm)
Don't you know I could do this dance all night?
[Chorus]
Ooh, what you doin'?
Don't know who you think that you're confusin'
I be like, ooh, it's amusin'
You think I'm gonna fall for an illusion
[Post-Chorus]
Dance all night, dance all night
Dance all night, dance all night (I be like, ooh)
Dance all night, dance all night
Dance all night, dance, dance
[Verse 2]
Was a time when that shit might've worked
Was a time when I just threw a match and let it burn
Now I'm grown, I know what I deserve
I still like dancin' with the lessons I already learned
[Pre-Chorus]
I already know your type, tellin' me the things I like (Mm)
Tryna make me yours for life, takin' me for a ride (Mm)
I already know your type, think you play your cards right (Mm)
Don't you know I could do this dance all night?
[Chorus]
Ooh, what you doin'?
Don't know who you think that you're confusin'
I be like, ooh, it's amusin'
You think I'm gonna fall for an illusion
[Post-Chorus]
Dance all night, dance all night
Dance all night, dance all night (I be like, ooh)
Dance all night, dance all night
Dance all night, dance, dance
[Bridge]
Illusion
I really like the way you're movin'
Yeah, I just wanna dance with the illusion
Yeah, I just wanna dance with
Yeah, I just wanna dance with
I could dance all night (Woo)
(Dance all night)
(Ooh-ooh-ooh-ooh)
[Chorus]
Ooh, what you doin'?
Don't know who you think that you're confusin'
I be like, ooh, it's amusin'
You think I'm gonna fall for an illu— (Illusion)
Ooh-ooh, what you doin'?
Don't know who you think that you're confusin'
I be like, ooh, it's amusin' (Illusion, illusion, illusion, illusion)
You think I'm gonna fall for an illusion"
Dua Lipa,Falling Forever,"[Intro]
How long? How long?
[Verse 1]
Are you good at holding on?
I know the mind is quick to throw away the moment
Where this takes us, maybe I don't wanna know yet
'Cause for now, you're all I want
They say you got it, then it's gone
I don't believe that every flame has to get colder
I hope the feelings that you give me carry over
Till tomorrow and beyond
[Chorus]
How long, how long
Can it just keep getting better?
Can we keep falling forever?
How long, how long
Can we stay like this together?
Can we keep falling forever?
[Verse 2]
You could wake up all alone
So tonight, I'll give you something to remember
And eternity's impossible to measure
But it feels right where we are
[Pre-Chorus]
I'm (I'm) falling deep (Falling deep)
Deep in your arms, baby
Baby, I'm yours to keep
Keep me close
Till tomorrow and beyond
[Chorus]
How long, how long
Can it just keep getting better?
Can we keep falling forever?
How long, how long
Can we stay like this together?
Can we keep falling forever?
[Bridge]
I, I wanna know
Can you ride through any storm?
Can you ride from night till dawn?
Till tomorrow and beyond
[Chorus]
How long, how long
Can it just keep getting better?
Can we keep falling forever?
How long, how long
Can we stay like this together?
Can we keep falling forever?
[Outro]
How long?
Can it just keep getting better?
Can we keep falling forever?
Oh, ooh-ooh
How long?
How, how long?"
Dua Lipa,Anything For Love,"[Intro]
One more time
Go one more time, make you cry again
I'm just sitting— I'm sitting in the middle of all of you
Argh, this is so intense
While Danny eats salted liquorice, that's nice
Okay, all right, let's do it, let's put it down
[Chorus]
And I'm not interested in a love that gives up so easily
I want a love that's set on keeping me
When it hurts, we don't even think to cut it off
And I'm not interested in a heart that doesn't beat for me
I want a mind that meets me equally
When it's hard, it won't evеr feel like it's too much
Remembеr when we used to do anything for love?
[Verse]
We're all so scared of forever
And no one promises always
We're not perfect together
That means we gotta part ways
Remember when
We used to do anything for love? Mm-hm
We're all terrified of heartbreak
Run at first signs of problems
Make it look way too easy
We all got too many options
Remember when (Remember when)
We used to do anything for love? (Anything for love)
[Chorus]
But I'm not interested in a love that gives up so easily
I want a love that's set on keeping me
When it hurts, we don't even think to cut it off
Remember when (Remember when) we used to do anything for love?
[Outro]
Ahahaha
I think that's the one, right?
All right, cool"
Dua Lipa,Maria,"[Verse 1]
I've had love, but his is the deepest, yeah
Says he'll never leave, he means it too, yeah
Ooh, I owe it to you
He was cold, and now, he's the sweetest, yeah
'Cause he knows how much there is to lose, yeah
Ooh, I owe it to you
Ooh, I owe it to you
Ooh, I owe it to you
[Chorus]
Maria, I know you're gone
But I feel ya when we're alone
Even when I'm here in his arms
I know you're somewhere in his heart
[Post-Chorus]
Maria
Maria
I know you're somewhere in his heart
[Verse 2]
When love comes young, you take it for granted, yeah
Now he knows certain things you can't undo, no
Ooh, I owe it to you
Deepest effect always comes from a cause
I'm better too from the ones that I've lost
Now, he is everything I'd ever want
I wanna thank you for all that you've done
[Chorus]
Oh, Maria, I know you're gone
But I feel ya when we're alone
Even when I'm here in his arms
I know you're somewhere in his heart
[Post-Chorus]
Maria
Maria
I know you're somewhere in his heart
[Bridge]
Never thought I could feel this way
Grateful for all the love you gave
Here's to the lovers that make you change
Maria, Maria, Maria
[Chorus]
Maria, I know you're gone
But I feel ya when we're alone (When we're alone)
Even when I'm here in his arms
I know you're somewhere in his heart
[Outro]
Oh, Maria, I look in his eyes and I see ya
Time after time
Even when I'm here in his arms
I know you're somewhere in his heart"
