Artist,Title,Lyrics
Kanye West,Monster,"[Intro: Justin Vernon]
I shoot the lights out
Hide 'til it's bright out
Oh, just another lonely night
Are you willing to sacrifice your life?
[Verse 1: Rick Ross]
Bitch, I'm a monster, no-good bloodsucker
Fat motherfucker, now look who's in trouble
As you run through my jungles, all you hear is rumbles
Kanye West samples, here's one for example
[Chorus: Kanye West]
Gossip, gossip, nigga, just stop it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands at the concert
Profit, profit, nigga, I got it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands
[Verse 2: Kanye West]
Uh, the best living or dead hands down, huh
Less talk, more head right now, huh
And my eyes more red than the devil is
And I'm 'bout to take it to another level, bitch
Matter who you go and get, ain't nobody cold as this
Do the rap and the track, triple-double, no assists
And my only focus is stayin' on some bogus shit
Arguin' with my older bitch, actin' like I owe her shit
I heard the beat, the same raps that gave the track pain
Bought the chain that always give me back pain
Fucking up my money so, yeah, I had to act sane
Chi nigga, but these hoes love my accent
Chick came up to me and said, ""This the number to dial
If you wanna make your number one your number two now""
Mix that Goose and Malibu, I call it ""Malibooyah""
Goddamn, Yeezy always hit 'em with a new style
Know that motherfucker, well, what you gon' do now?
Whatever I wanna do, gosh, it's cool now
Know I'm gonna do, ah, it's the new now
Think you motherfuckers really really need to cool out
'Cause you'll never get on top of this
So, mami, best advice is just to get on top of this
Have you ever had sex with a pharaoh?
Ah, put the pussy in a sarcophagus
Now she claiming that I bruised her esophagus
Head of the class and she just won a swallowship
I'm livin' in the future so the present is my past
My presence is a present, kiss my ass
[Chorus: Kanye West & 
Jay Z
]
Gossip, gossip, nigga, just stop it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands at the concert (
Yeah
)
Profit, profit, nigga, I got it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands
[Verse 3: Jay Z]
Sasquatch, Godzilla, King Kong, Loch Ness
Goblin, ghoul, a zombie with no conscience
Question, what do these things all have in common?
Everybody knows I'm a motherfuckin' monster
Conquer, stomp ya, stop your silly nonsense
Nonsense, none of you niggas know where the swamp is
None of you niggas have seen the carnage that I've seen
I still hear fiends scream in my dreams
Murder, murder in black convertibles, I
Kill a block, I murder the avenues, I
Rape and pillage your village, women and children
Everybody want to know what my Achilles heel is
Love, I don't get enough of it
All I get is these vampires and bloodsuckers
All I see is these niggas I made millionaires
Millin' about, spillin' they feelings in the air
All I see is these fake fucks with no fangs
Tryna draw blood from my ice-cold veins
I smell a massacre
Seems to be the only way to back you bastards up
[Chorus: Kanye West]
Gossip, gossip, nigga, just stop it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands at the concert
Profit, profit, nigga, I got it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands
[Verse 4: Nicki Minaj]
Pull up in the monster, automobile gangsta
With a bad bitch that came from Sri Lanka
Yeah, I'm in that Tonka, color of Willy Wonka
You could be the king, but watch the queen conquer
Okay, first things first, I'll eat your brains
Then I'ma start rocking gold teeth and fangs
'Cause that's what a motherfuckin' monster do
Hair dresser from Milan, that's the monster 'do
Monster Giuseppe heel, that's the monster shoe
Young Money is the roster and a monster crew
And I'm all up, all up, all up in the bank with the funny face
And if I'm fake, I ain't notice 'cause my money ain't
So let me get this straight, wait, I'm the rookie?
But my features and my shows ten times your pay?
50K for a verse, no album out
Yeah, my money's so tall that my Barbies got to climb it
Hotter than a Middle Eastern climate, violent
Tony Matterhorn, dutty wine it, wine it
Nicki on them titties when I sign it
That's how these niggas so one-track-minded
But really, really I don't give an F-U-C-K
""Forget Barbie, fuck Nicki, sh-she's fake""
""She on a diet,"" but my pockets eatin' cheesecake
And I'll say, bride of Chucky, it's child's play
Just killed another career, it's a mild day
Besides, Ye, they can't stand besides me
I think me, you, and Am' should ménage Friday
Pink wig, thick ass, give 'em whiplash
I think big, get cash, make 'em blink fast
Now look at what you just saw, this is what you live for
Ah, I'm a motherfuckin' monster
[Outro: Justin Vernon & 
Charlie Wilson
]
I, I crossed the limelight
And I'll, I'll let God decide
And I, I wouldn't last these shows
So I, I am headed home (
Headed home
)
I, I crossed the limelight
And I'll, I'll let God decide, 'cide (
No
)
And I, I wouldn't last these shows
So I, I am headed home (
Head home
)
I, I crossed the limelight (
No, the limelight
)
And I'll, I'll let God decide, 'cide
And I, I wouldn't last these shows
So I, I am headed home
[Produced by Kanye West, Mike Dean & Plain Pat]
[Video directed by Jake Nava]"
almost monday,sunburn,"[Chorus]
The days we spent were temporary
But you'll always be that sunburn on me
An ice cold shower can't help, baby
'Cause you'll always be that sunburn on me (Yeah, yeah, yeah)
[Verse 1]
California (Yeah, yeah)
Heat waves on ya (Yeah, yeah)
Think we knew that it would go there
Catching magic out of thin air
Warmer weather (Yeah, oh)
Nothing better
'Til we stumble into nightfall
And you end it with a phone call
Why'd I give you my everything
Just to watch us spiral down the drain?
What if time doеsn't heal a damn thing?
And nothing, nothing's gonna wash it away
[Chorus]
The days we spеnt were temporary
But you'll always be that sunburn on me
An ice cold shower can't help, baby
'Cause you'll always be that sunburn on me
[Verse 2]
Aloe vera over my skin (Ouch)
Took you to places that you never been (You never been there)
Why you gotta say goodbye? (Don't say, yeah)
Windows are down on the highway
But you never going my way (Uh)
Burn up in flames like the Fourth of July
[Chorus]
The days we spent were temporary
But you'll always be that sunburn on me
An ice cold shower can't help, baby
'Cause you'll always be that sunburn on me (Yeah)
[Post-Chorus]
Sunburn on me
Ah, ah, got that sunburn on me
Ah, ah
[Bridge]
Why'd I give you my everything
Just to watch us spiral down the drain?
What if doesn't heal a damn thing?
And nothing, nothing's gonna wash it away, yeah, yeah
[Chorus]
The days we spent were temporary
But you'll always be that sunburn on me (Sunburn on me)
An ice cold shower can't help, baby
'Cause you're always gonna be that sunburn on me, yeah
[Post-Chorus]
Sunburn on me
Ah, ah, got that sunburn on me
Ah, ah, got that sunburn on me
Ah, ah, got that sunburn on me
Ah, ah"
Wallows,At the End of the Day,"[Verse 1: Braeden Lemasters]
Please lay your head here on my shoulder
The night is young but we're still getting older
Can you see ourselves in love like this forever?
Or are you afraid that's too much pressure?
[Chorus: Braeden Lemasters]
At the end of the day
I'm not far away, I'm staying
A face in the crowd
When you're not around that's fading
If you wanted I would never call you
Never think about you or never let you go
But at the end of the day
Are we on our way to breaking?
[Verse 2: Braeden Lemasters]
There's a place you used to take me almost twice a week
And at first you made me nervous I could hardly speak
I don't really think about it anymore
Is that a problem or just something to ignore?
Time on my hands
Falling like sand
Just take it back if you need an escape plan
[Chorus: Braeden Lemasters]
At the end of the day
I'm not far away, I'm staying
A face in the crowd
When you're not around that's fading
If you wanted I would never call you
Never think about you or never let you go
But at the end of the day
Are we on our way to breaking?
[Bridge: Braeden Lemasters]
Please, just see
That you are not alone, you are not alone
I'll never let you go unless you want me to
Your words could never be criminal
Mine aren't subliminal
Hope you know
That if it's day or night, if it's day or night
When I look in your eyes, forever sounds alright
Don't blame yourself if they look away
Why fuck with fate?
[Chorus: Braeden Lemasters]
'Cause at the end of the day
I'm not far away, I'm staying
A face in the crowd
When you're not around that's fading
If you wanted I would never call you
Never think about you or never let you go
But at the end of the day
Are we on our way to breaking?"
Dua Lipa,Physical,"[Verse 1]
Common love isn't for us
We created something phenomenal
Don't you agree?
Don't you agree?
You got me feeling diamond rich
Nothing on this planet compares to it
Don't you agree?
Don't you agree?
[Pre-Chorus]
Who needs to go to sleep when I got you next to me?
[Chorus]
All night, I'll riot with you
I know you got my back and you know I got you
So come on (Come on), come on (Come on), come on (Come on)
Let's get physical
Lights out, follow the noise
Baby, keep on dancing like you ain't got a choice
So come on (Come on), come on (Come on), come on
Let's get physical
[Verse 2]
Adrenaline keeps on rushing in
Love the simulation we're dreaming in
Don't you agree?
Don't you agree?
I don't wanna live another life
'Cause this one's pretty nice
Living it up
[Pre-Chorus]
Who needs to go to sleep when I got you next to me?
[Chorus]
All night, I'll riot with you
I know you got my back and you know I got you
So come on (Come on), come on (Come on), come on (Come on)
Let's get physical
Lights out, follow the noise
Baby, keep on dancing like you ain't got a choice
So come on (Come on), come on (Come on), come on
Let's get physical
[Bridge]
Hold on just a little tighter
Come on, hold on, tell me if you're ready
Come on (Come on, come on)
Baby, keep on dancing
Let's get physical
Hold on just a little tighter
Come on, hold on, tell me if you're ready
Come on (Come on, come on)
Baby, keep on dancing
Let's get physical
[Chorus]
All night, I'll riot with you
I know you got my back and you know I got you
So come on, come on, come on
Let's get physical
Lights out, follow the noise
Baby, keep on dancing like you ain't got a choice
So come on (Come on), come on (Come on), come on
Let's get physical (Physical, physical)
[Outro]
Let's get physical (Physical, physical)
Physical (Physical, physical)
Let's get physical (Physical, physical)
Come on, phy-phy-phy-physical"
Doja Cat,Kiss Me More (feat. SZA),Lyrics Not Found
Frank Ocean,Lost,"[Verse 1]
Double D, big full breasts on my baby
(Yo, we goin' to Florida)
Triple weight
Couldn't weigh the love I've got for the girl
And I just wanna know
Why you ain't been going to work?
Boss ain't workin' you like this
He can't take care of you like this
[Chorus]
Now you're lost, lost in the heat of it all
Girl, you know you're lost, lost in the thrill of it all
Miami, Amsterdam, Tokyo, Spain, lost
Los Angeles, India, lost on a train, lost
[Verse 2]
Got on my buttercream silk shirt and it's Versace
(There he goes, one of God's own prototypes)
Hand me my triple weight
So I can weigh the work I got on you, girl
(Too weird to live and too rare to die)
No, I don't really wish
I don't wish the titties would show
No, have I ever, have I ever let you get caught? (Oh)
[Chorus]
Lost, lost in the heat of it all
Girl, you know you're lost, lost in the thrill of it all
Miami, Amsterdam, Tokyo, Spain, lost
Los Angeles, India, lost on a train, lost
[Bridge]
She's at a stove (Who?)
Can't believe I got her out here cookin' dope (Cookin' dope)
I promise she'll be whippin' meals up for a family of her own some day
Nothin' wrong (Nothin' wrong)
No, nothin' wrong (Ain't nothin' wrong)
With a lie (Ooh)
Nothin' wrong with another short plane ride (Ain't nothin' wrong, ain't nothin' wrong)
Through the sky (Up in the sky)
You and I (Just you and I)
[Chorus]
Lost (Ooh), lost in the heat of it all
Girl, you know you're lost, lost in the thrill of it all
Miami, Amsterdam, Tokyo, Spain, lost (Ooh)
Los Angeles, India, lost on a train, lost (Ooh)
[Outro]
Love lost, lost
Lo—, lo—, love lost
Lo—, lo—, love lost
Lo—, lo—, love lost
Faith is the substance—
¡Manos arriba!—
Then the other channel on the—"
Kings of Leon,Sex on Fire,"[Verse 1]
Lay where you're layin'
Don't make a sound
I know they're watchin'
They're watchin'
All the commotion
The kiddie-like play
It has people talkin'
Talkin'
[Chorus]
You
Your sex is on fire
[Verse 2]
The dark of the alley
The breakin' of day
Head while I'm drivin'
I'm drivin'
Soft lips are open
Them knuckles are pale
Feels like you're dyin'
You're dyin'
[Chorus]
You
Your sex is on fire
Consumed
With what's to transpire
[Verse 3]
Hot as a fever
Rattlin' bones
I could just taste it
Taste it
If it's not forever
If it's just tonight
Oh, we're still the greatest
The greatest, the greatest
[Chorus]
You
Your sex is on fire
You
Your sex is on fire, ah
Consumed
With what's to transpire
And you
Your sex is on fire
Consume
With what's to transpire"
Cage The Elephant,Social Cues,"[Verse 1]
I think it's strange when people say
You're the next big thing, you'll never fade
The slightest touch, forced to fold
Sleight of the hand, modern gold
[Pre-Chorus]
Starry-eyed child left behind
Choose your favorite vice
I don't have the strength to play nice
[Chorus]
Hide me in the back room, tell me when it's over
Don't know if I can play this part much longer
I'll be in the back room, tell me when it's over
Don't know if I can play this part much longer
I don't know if it is right to live this way, yeah
I'll be in the back room, tell me when it's over
People always say, ""Man, at least you're on the radio""
[Post-Chorus]
At least you're on the radio, oh
At least you're on the radio, huh
At least you're on the radio, oh
[Verse 2]
Close your eyes, don't be afraid
Take some of these, they'll ease the pain
Live fast, die young, pay the price
The best die young, immortalized
[Pre-Chorus]
Starry-eyed children left behind
To choose their favorite vice
I don't have the strength to think twice
[Chorus]
Hide me in the back room, tell me when it's over
Don't know if I can play this part much longer
I'll be in the back room, tell me when it's over
Don't know if I can play this part much longer
I don't know if it is right to live this way, yeah
I'll be in the back room, tell me when it's over
People always say, ""Man, at least you're on the radio""
[Post-Chorus]
At least you're on the radio, oh
At least you're on the radio, huh
[Chorus]
Hide me in the back room, tell me when it's over
Don't know if I can play this part much longer
I'll be in the back room, tell me when it's over
Don't know if I can play this part much longer
I don't know if it is right to live this way, yeah
I'll be in the back room, tell me when it's over
People always say, ""Man, at least you're on the radio""
[Outro]
At least you're on the radio, oh"
Cannons,Fire for You,"[Verse 1]
I was on fire for you
Where did you go?
I could have died for you
How could you not know?
I was alive with you
But you brought in the cold
Was I being lied to? Wish I never met you
Startin' to regret you
[Pre-Chorus]
My heart just dropped
Thinkin' about you
The world just stops
When I'm without you
[Chorus]
I was on fire for you
(
Fire, on fire, fire, on fire
)
(
Fire, on fire, fire, on fire
)
I was on fire for you
(
Fire, on fire, fire, on fire
)
(
Fire, on fire
)
[Verse 2]
I was on fire for you
You breakin' me down
Don't know what I should do
When you come around
I'm leaving without you, love
I have no choice
I know I'm being lied to, I just need some time to
Stop thinkin' about you
[Pre-Chorus]
My heart just dropped
Thinkin' about you
The world just stops
When I'm without you
My heart just dropped
Thinkin' about you
The world just stops
When I'm without you
[Chorus]
I was on fire for you
(
Fire, on fire, fire, on fire
)
(
Fire, on fire, fire, on fire
)
I was on fire for you
(
Fire, on fire, fire, on fire
)
(
Fire, on fire, fire, on fire
)
I was on fire for you
(
Fire, on fire, fire, on fire
)
(
Fire, on fire, fire, on fire
)
I was on fire for you
(
Fire, on fire, fire, on fire
)
(
Fire, on fire, fire, on fire
)
I was on fire for you"
Cage The Elephant,Come a Little Closer,"[Verse 1]
Time shakes, found you at the water
At first you were my father
Now I love you like a brother
Earthquakes shake the dust behind you
This world at times will blind you
Still I know I'll see you there
[Chorus]
Come a little closer, then you'll see
Come on, come on, come on
Things aren't always what they seem to be
Come on, come on, come on
Do you understand the things that you've been seein'?
Come on, come on, come on
Do you understand the things that you've been dreamin'?
Come a little closer, then you'll see
[Verse 2]
Heartbreaks, the heavy worlds upon your shoulders
Will we burn on or just smolder?
Somehow I know I'll find you there
Ooh, you wanna see if you can change it, change it
Still I know I'll see you there
[Chorus]
Come a little closer, then you'll see
Come on, come on, come on
Things aren't always what they seem to be
Do you understand the things that you've been seein'?
Come on, come on, come on
Do you understand the things that you've been dreamin'?
Come a little closer, then you'll see
Come a little closer, then you'll see
[Bridge]
Ten thousand people stand alone now
And in the evening the sun sank
Tomorrow it will rise
""Time flies by,"" they all sang along
""Time flies by,"" they all sang along
""Time flies by,"" they all sang along
""Time flies by, by""
[Outro]
Come a little closer, then you'll see
Come on, come on, come on
Come a little closer, then you'll see
Come a little closer, then you'll see
Come a little closer, then you'll see"
